sample_index,player_url,expected_afltables_identity,child_status,base_outcome,population_outcome,population_reason,corrected_identity,recommended_disposition,visible_name,title_birth_year,retained_birth_year,retained_debut_season,retained_last_season,retained_career_games,draftguru_games,earliest_recruitment_year,earliest_recruitment_event_type,ledger_status,reason_codes,operator_verdict
1065,https://www.draftguru.com.au/players/dion_woods/1,players/D/Dion_Woods.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dion Woods,1982,1982,2001,2005,59,59,2000,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1066,https://www.draftguru.com.au/players/djaran_whyman/1,players/D/Djaran_Whyman.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Djaran Whyman,1983,1983,2007,2007,3,3,2001,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1067,https://www.draftguru.com.au/players/dom_barry/1,players/D/Dom_Barry.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dom Barry,1994,1994,2014,2018,10,10,2017,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_BEFORE_EARLIEST_RECRUITMENT;SPAN_CONTAINS_EARLIEST_RECRUITMENT_YEAR;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1068,https://www.draftguru.com.au/players/dom_sheed/1,players/D/Dom_Sheed.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dom Sheed,1995,1995,2014,2024,165,165,2013,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1069,https://www.draftguru.com.au/players/dom_tyson/1,players/D/Dom_Tyson.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dom Tyson,1993,1993,2012,2021,113,113,2011,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1070,https://www.draftguru.com.au/players/domenic_cassisi/1,players/D/Domenic_Cassisi.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Domenic Cassisi,1982,1982,2002,2014,228,228,2000,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1071,https://www.draftguru.com.au/players/dominic_bedendo/1,players/D/Dominic_Bedendo.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dominic Bedendo,2002,2002,2022,2022,2,2,2020,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1072,https://www.draftguru.com.au/players/dominic_fotia/1,players/D/Dominic_Fotia.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dominic Fotia,1969,1970,1989,1991,18,18,1986,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1073,https://www.draftguru.com.au/players/don_cockatoo-collins/1,players/D/Don_Cockatoo-Collins.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Don Cockatoo-Collins,1978,1978,1996,1998,9,9,1995,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1074,https://www.draftguru.com.au/players/don_pyke/1,players/D/Don_Pyke.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Don Pyke,1968,1969,1989,1996,132,132,1988,Pre-Draft,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
