coach_path,display_name,born_raw,player_href,profile_path,games_coached,raw_sha256
coaches/Charlie_Pannam.html,Charlie Pannam,2-Oct-1874,../players/C/Charlie_Pannam.html,players/C/Charlie_Pannam.html,18,7d99bef8d9b6a26009e63cf3fff2e0e0b8d82bfd589520428c108903149b40d7
coaches/Bert_Sutton.html,Bert Sutton,15-Apr-1901,../players/B/Bert_Sutton.html,players/B/Bert_Sutton.html,18,13a59941dd653d5e60d2be33f9d9332d0393e1119baba989041e39d8672fecbf
coaches/Vic_Brown.html,Vic Brown,1-Nov-1880,,,18,3dcb7be8db5de8d3be6a17c6a14a6f86e216fee3ec1edeb8c60916222e933c21
coaches/Tom_Arklay.html,Tom Arklay,26-Mar-1914,../players/T/Tom_Arklay.html,players/T/Tom_Arklay.html,18,f3c1107c504d5ff257ded7210a2dfb8b22d614f77ce23a8eab1bc0457c87f255
coaches/Peter_ODonohue.html,Peter ODonohue,14-Jun-1923,../players/P/Peter_ODonohue.html,players/P/Peter_ODonohue.html,18,500c43bbb49840e4d14ebcef8ac013b8c4b5250865c3ef6fbc6f6787dbe830f8
coaches/Max_Oppy.html,Max Oppy,14-Oct-1924,../players/M/Max_Oppy.html,players/M/Max_Oppy.html,18,38096d7fb6ff16f86b1d2ff6be46c05b20fa373efbdb1464cb061a86c2de330b
coaches/Len_Metherell.html,Len Metherell,17-Nov-1908,../players/L/Len_Metherell.html,players/L/Len_Metherell.html,18,f29619feb95374d53785e7a08a502d05d85b73c3e20d6675e09fd8d2dafe460c
coaches/Laurie_Nash.html,Laurie Nash,2-May-1910,../players/L/Laurie_Nash.html,players/L/Laurie_Nash.html,18,c22b926fe4b3e652c27e884eb8c8bea8345abdf61c0565bd8b859c06f55104c8
coaches/John_Lewis0.html,John Lewis,13-Sep-1901,../players/J/John_Lewis0.html,players/J/John_Lewis0.html,18,43d096132055d51365f33d506ea76681911172957fbfc41983585e01532db8b5
coaches/Jim_Jackson.html,Jim Jackson,28-Apr-1890,../players/J/Jim_Jackson.html,players/J/Jim_Jackson.html,18,1d44d374226c6defcd2fc90c267e33aa398c40c05b21a455a6960c7cf2a1b64f
coaches/Jack_Wells.html,Jack Wells,4-Jan-1883,../players/J/Jack_Wells.html,players/J/Jack_Wells.html,18,0075342962f7ac88659b80a64f50886c076393c15657adeba67b32d1af4b2f89
coaches/Jack_Knight.html,Jack Knight,21-Nov-1912,../players/J/Jack_Knight.html,players/J/Jack_Knight.html,18,3bfb8a50e6bd7b64f92a938ecf4e4b4bb6bea5f1c3740784782d4c59a4c9a65e
coaches/Haydn_Bunton.html,Haydn Bunton,5-Jul-1911,../players/H/Haydn_Bunton.html,players/H/Haydn_Bunton.html,18,695e2c80178b0c7616aa241ca79fb9823bffe0fccad5361e293a837f6aa1106e
coaches/Fred_Green.html,Fred Green,6-Mar-1921,../players/F/Fred_Green.html,players/F/Fred_Green.html,18,8ce6c1f67ef15483eee2cc1773a0da59173165296bdce6e6472bd7d8de9a0315
coaches/Ern_Jenkins.html,Ern Jenkins,4-Oct-1879,../players/E/Ern_Jenkins.html,players/E/Ern_Jenkins.html,18,b8d4db521732a390512ebd57b8104928b3ee080982252e2228e19bb74389da05
coaches/Con_McCarthy.html,Con McCarthy,10-Feb-1893,../players/C/Con_McCarthy.html,players/C/Con_McCarthy.html,17,e6b71a8e2256be1e9b44422e1471da9dbf21eb802bfb50885a888c77b104f25c
coaches/Chris_Lethbridge.html,Chris Lethbridge,24-May-1890,../players/C/Chris_Lethbridge.html,players/C/Chris_Lethbridge.html,17,0c4cc1b2c79d66fb1ee07e039e00ec00c83472735296f12c0716f220d4c1d3ff
coaches/Bert_Taylor0.html,Bert Taylor,9-Jul-1900,../players/B/Bert_Taylor0.html,players/B/Bert_Taylor0.html,17,d2803a09856c180b25709b4c0540bdf794ca69395f5b0c36daf00781e661bd05
coaches/Viv_Valentine.html,Viv Valentine,3-Dec-1887,../players/V/Viv_Valentine.html,players/V/Viv_Valentine.html,17,0326e4893798fb9ba211d22c2c2cdcb81b017f7c4243288c05885f7e4e429b6f
coaches/Jack_Titus.html,Jack Titus,9-Mar-1908,../players/J/Jack_Titus.html,players/J/Jack_Titus.html,17,0c478dad2c70ffc994358d5131f4fea67d8d92b2da7847e09969ef836f581705
coaches/Jack_McKenzie0.html,Jack McKenzie,10-Nov-1881,../players/J/Jack_McKenzie0.html,players/J/Jack_McKenzie0.html,17,9e547a1fb0621b6ef76f1c88e637a5ed98c1ef181850f43809e83803ca187197
coaches/Artie_Wood.html,Artie Wood,24-Jun-1898,../players/A/Artie_Wood.html,players/A/Artie_Wood.html,16,19905148edb346a486bf1ebde4ef45bdf4e60e88bf5e26f3c37099388d641ad1
coaches/Arthur_Hiskins.html,Arthur Hiskins,9-Sep-1886,../players/A/Arthur_Hiskins.html,players/A/Arthur_Hiskins.html,16,8be8b5f7d1c707afafbe20d35bea7eb897ea85f32ee3236dbaa3971342c88050
coaches/Lloyd_Hagger.html,Lloyd Hagger,7-Dec-1898,../players/L/Lloyd_Hagger.html,players/L/Lloyd_Hagger.html,16,a8a479cc534b6d2c744c198f50cd1b4e27547cda68429d23e8d5493cac8c55ff
coaches/Len_Wigraft.html,Len Wigraft,28-Jan-1897,../players/L/Len_Wigraft.html,players/L/Len_Wigraft.html,16,b75df1febcb7894061b39b3438a60e752715b3eef36d5e499cc93c31d0a3c141
coaches/Alby_Morrison.html,Alby Morrison,29-Jan-1909,../players/A/Alby_Morrison.html,players/A/Alby_Morrison.html,15,54f87ef84abd6ad12a5207e0f09a308661bf815839f3cab1cae57e9dae2fdefb
coaches/Darren_Crocker.html,Darren Crocker,26-Mar-1967,../players/D/Darren_Crocker.html,players/D/Darren_Crocker.html,15,19a940954ad1a0a1704b991a2cdde5b78069cf605dbaa0cefdc1cba02773b2d3
coaches/Josh_Fraser.html,Josh Fraser,5-Jan-1982,../players/J/Josh_Fraser.html,players/J/Josh_Fraser.html,15,272afad2ddf493312f2e79374e715e5b26987f3cde2880e9602cb89e7bf5a52f
coaches/Dean_Solomon.html,Dean Solomon,9-Jan-1980,../players/D/Dean_Solomon.html,players/D/Dean_Solomon.html,15,53141d4e8985b64bf993dd63a84498b95e3e7e981c63ef0290b0921f992ab26a
coaches/Percy_Maybury.html,Percy Maybury,24-Sep-1891,../players/P/Percy_Maybury.html,players/P/Percy_Maybury.html,15,e967221b3ce6395868487867207a85d1b5b81ae1493661444d6eef1aa975a5d1
