player_id,display_name,afltables_profile_url
1116,Graham Polak,players/G/Graham_Polak.html
1118,Steven Armstrong,players/S/Steven_Armstrong.html
1119,Ted Richards,players/T/Ted_Richards.html
1120,Trent Sporn,players/T/Trent_Sporn.html
1121,Jason Cloke,players/J/Jason_Cloke.html
1122,Chris Judd,players/C/Chris_Judd.html
1123,Shane Birss,players/S/Shane_Birss.html
1126,Shaun Burgoyne,players/S/Shaun_Burgoyne.html
1127,Xavier Clarke,players/X/Xavier_Clarke.html
1128,Mark McGough,players/M/Mark_McGough.html
1129,Nick Ries,players/N/Nick_Ries.html
1132,Nick Dal Santo,players/N/Nick_Dal_Santo.html
1134,Luke Hodge,players/L/Luke_Hodge.html
1135,Sam Mitchell,players/S/Sam_Mitchell.html
1137,Leigh Montagna,players/L/Leigh_Montagna.html
1140,Steve Johnson,players/S/Steve_Johnson.html
1141,James Kelly,players/J/James_Kelly.html
1150,Chris Newman,players/C/Chris_Newman.html
1153,Daniel Cross,players/D/Daniel_Cross.html
1156,Campbell Brown,players/C/Campbell_Brown.html
1162,Tim Watson,players/T/Tim_Watson.html
1163,Paul Harding,players/P/Paul_Harding.html
1166,Tony Shaw,players/T/Tony_Shaw.html
1172,David Bain,
1180,John Gastev,players/J/John_Gastev.html
1188,Russell Morris,players/R/Russell_Morris.html
1193,Domenic Cassisi,players/D/Domenic_Cassisi.html
1195,Ashley Sampi,players/A/Ashley_Sampi.html
1201,Mark Bairstow,players/M/Mark_Bairstow.html
1204,Brent Reilly,players/B/Brent_Reilly.html
1205,Roger Hayden,players/R/Roger_Hayden.html
1212,Sam Power,players/S/Sam_Power.html
1217,Brian Lake,players/B/Brian_Lake.html
1219,Robert West,players/R/Robert_West.html
1221,Andrew McDougall,players/A/Andrew_McDougall.html
1238,Anthony Daniher,players/A/Anthony_Daniher.html
1253,Peter Daicos,players/P/Peter_Daicos.html
1254,Shane Morwood,players/S/Shane_Morwood.html
1256,Dale Weightman,players/D/Dale_Weightman.html
1257,Gary Ayres,players/G/Gary_Ayres.html
1259,Michael Pickering,players/M/Michael_Pickering0.html
1260,Trevor Poole,players/T/Trevor_Poole.html
1262,Andrew MacNish,players/A/Andrew_MacNish.html
1264,Denis Marshall,players/D/Denis_Marshall.html
1268,Dennis Carroll,players/D/Dennis_Carroll.html
1270,Peter Foster,players/P/Peter_Foster.html
1277,Brian Royal,players/B/Brian_Royal.html
