source_key,season,position,player,club,is_captain,is_vice_captain
22under22:2022:hf:2,2022,HF,Aaron Naughton,Western Bulldogs,0,0
22under22:2022:hf:3,2022,HF,Jack Ginnivan,Collingwood,0,0
22under22:2022:f:1,2022,F,Kysaiah Pickett,Melbourne,0,0
22under22:2022:f:2,2022,F,Max King,St Kilda,0,0
22under22:2022:f:3,2022,F,Izak Rankine,Gold Coast,0,0
22under22:2022:r:1,2022,R,Luke Jackson,Melbourne,0,0
22under22:2022:r:2,2022,R,Sam Walsh,Carlton,0,1
22under22:2022:r:3,2022,R,Bailey Smith,Western Bulldogs,0,0
22under22:2022:ic:1,2022,I/C,Chad Warner,Sydney,0,0
22under22:2022:ic:2,2022,I/C,Caleb Serong,Fremantle,0,0
22under22:2022:ic:3,2022,I/C,Isaac Quaynor,Collingwood,0,0
22under22:2022:ic:4,2022,I/C,Keidean Coleman,Brisbane Lions,0,0
22under22:2023:b:1,2023,B,Nasiah Wanganeen-Milera,St Kilda,0,0
22under22:2023:b:2,2023,B,Sam De Koning,Geelong,0,0
22under22:2023:b:3,2023,B,Miles Bergman,Port Adelaide,0,0
22under22:2023:hb:1,2023,HB,Nick Daicos,Collingwood,1,0
22under22:2023:hb:2,2023,HB,Hayden Young,Fremantle,0,0
22under22:2023:hb:3,2023,HB,Harry Sheezel,North Melbourne,0,0
22under22:2023:c:1,2023,C,Errol Gulden,Sydney,0,0
22under22:2023:c:2,2023,C,Caleb Serong,Fremantle,0,0
22under22:2023:c:3,2023,C,Will Ashcroft,Brisbane Lions,0,0
22under22:2023:hf:1,2023,HF,Mitch Owens,St Kilda,0,0
22under22:2023:hf:2,2023,HF,Jamarra Ugle-Hagan,Western Bulldogs,0,0
22under22:2023:hf:3,2023,HF,Cody Weightman,Western Bulldogs,0,0
22under22:2023:f:1,2023,F,Kysaiah Pickett,Melbourne,0,0
22under22:2023:f:2,2023,F,Jye Amiss,Fremantle,0,0
22under22:2023:f:3,2023,F,Josh Rachele,Adelaide,0,0
22under22:2023:r:1,2023,R,Luke Jackson,Fremantle,0,0
22under22:2023:r:2,2023,R,Tom Green,Greater Western Sydney,0,0
22under22:2023:r:3,2023,R,Jai Newcombe,Hawthorn,0,1
22under22:2023:ic:1,2023,I/C,Bailey Smith,Western Bulldogs,0,0
22under22:2023:ic:2,2023,I/C,Chad Warner,Sydney,0,0
22under22:2023:ic:3,2023,I/C,Will Day,Hawthorn,0,0
22under22:2023:ic:4,2023,I/C,Noah Anderson,Gold Coast,0,0
22under22:2024:b:1,2024,B,Nasiah Wanganeen-Milera,St Kilda,0,0
22under22:2024:b:2,2024,B,Mac Andrew,Gold Coast,0,0
22under22:2024:b:3,2024,B,Darcy Wilmot,Brisbane Lions,0,0
22under22:2024:hb:1,2024,HB,Max Holmes,Geelong,0,0
22under22:2024:hb:2,2024,HB,Josh Weddle,Hawthorn,0,0
22under22:2024:hb:3,2024,HB,Colby McKercher,North Melbourne,0,0
22under22:2024:c:1,2024,C,Errol Gulden,Sydney,0,0
22under22:2024:c:2,2024,C,Harley Reid,West Coast,0,0
22under22:2024:c:3,2024,C,Jason Horne-Francis,Port Adelaide,0,0
22under22:2024:hf:1,2024,HF,Jack Ginnivan,Hawthorn,0,0
22under22:2024:hf:2,2024,HF,Sam Darcy,Western Bulldogs,0,0
22under22:2024:hf:3,2024,HF,Oliver Dempsey,Geelong,0,0
22under22:2024:f:1,2024,F,Josh Treacy,Fremantle,0,0
22under22:2024:f:2,2024,F,Jamarra Ugle-Hagan,Western Bulldogs,0,0
22under22:2024:f:3,2024,F,Jye Amiss,Fremantle,0,0
22under22:2024:r:1,2024,R,Luke Jackson,Fremantle,0,0
22under22:2024:r:2,2024,R,Harry Sheezel,North Melbourne,0,1
22under22:2024:r:3,2024,R,Nick Daicos,Collingwood,1,0
22under22:2024:ic:1,2024,I/C,Massimo D'Ambrosio,Hawthorn,0,0
22under22:2024:ic:2,2024,I/C,George Wardlaw,North Melbourne,0,0
22under22:2024:ic:3,2024,I/C,Josh Rachele,Adelaide,0,0
22under22:2024:ic:4,2024,I/C,Josh Draper,Fremantle,0,0
22under22:2025:b:1,2025,B,Max Michalanney,Adelaide,0,0
22under22:2025:b:2,2025,B,Mac Andrew,Gold Coast,0,0
22under22:2025:b:3,2025,B,Darcy Wilmot,Brisbane Lions,0,0
